Data for figure 4c.
Drug	Migration
Rest	 2.318999534
Rest	 1.564224348
Rest	 0.645120410
Rest	 1.506132219
Rest	 0.162429216
Rest	 0.830116369
Rest	-0.806527143
Rest	-0.770461364
Rest	 0.772032215
Rest	-0.258690507
Rest	-1.227160803
Rest	 1.312922262
Rest	-2.254866372
Rest	 0.121004544
Rest	-1.158836461
Rest	 1.065380780
Rest	 0.096701612
Rest	-0.678092760
Rest	-0.419823030
Rest	 0.096705832
Rest	 0.489348329
Rest	 0.216490735
Rest	-0.370275317
Rest	-0.522222933
Rest	 1.158836461
Rest	-1.988886940
Rest	-0.182025452
Rest	-0.101552481
Rest	-0.338215397
Rest	 0.316534501
Rest	 0.627425974
Rest	-2.540802687
Rest	 0.425096271
Rest	 0.633302280
Rest	-0.702537212
Rest	-0.976450725
Rest	-0.248722833
Rest	-0.347127363
Rest	-0.572618272
Rest	 1.403309549
Rest	-0.552855772
Rest	 0.467721224
Rest	-1.576474624
Rest	 0.618654055
Rest	-0.538869807
Rest	-0.898163927
Rest	 1.242557790
Rest	-1.217053984
Rest	-0.070057165
Rest	 0.142909638
Rest	-0.869740863
Rest	 1.144876794
Rest	 0.006036864
Rest	 0.430381233
Rest	 0.296305595
Rest	-0.094276607
Rest	 1.222091955
Rest	 1.378030654
Rest	 0.308934076
Rest	 0.578305244
Rest	 0.898163927
Rest	 1.220032820
Rest	-0.794992821
Rest	-0.576882350
Rest	 0.422494523
Rest	-0.009664419
Rest	-0.672044332
Rest	 0.068889325
Rest	-0.150213306
Rest	-1.544276001
Rest	-0.372859751
Rest	 0.804972214
Rest	-0.482569913
Rest	-1.955814709
Rest	 0.283723698
Rest	-0.994025324
Rest	-0.435678115
Rest	-0.992042420
Rest	-2.173116675
Rest	-0.999928432
Rest	-1.940041973
Rest	-1.560976531
Rest	 0.923636290
Rest	 0.798228231
Rest	-2.841894483
Rest	-0.828362517
Rest	-0.762343227
Rest	 1.222091955
Rest	-0.342057437
Rest	 0.565540239
Rest	-2.062338849
Rest	-0.145333246
Rest	 1.202120410
Rest	-1.491503514
Rest	-0.696387620
Rest	 0.424005002
Rest	-0.901767349
Rest	 0.459667072
Rest	-0.945951262
Rest	-1.403054169
Rest	-0.919961263
Rest	-0.313999037
Rest	-0.387126903
Rest	-1.182612322
Rest	-1.988886940
Rest	-1.972084084
Rest	 0.512582574
Rest	-0.356106671
Rest	 0.256196242
Rest	-1.061158030
Rest	-0.627425974
Rest	-0.555665763
Rest	-1.895388634
Rest	 1.724920256
Rest	 0.934736209
Rest	 0.781793448
Rest	 0.492067502
Rest	-0.519464400
Rest	-0.079739277
Rest	-0.036214990
Rest	 0.942199885
Rest	-1.028036130
Rest	 0.261237924
Rest	 1.056990727
Rest	 0.388418919
Rest	-0.550050093
Rest	-0.028969736
Rest	-0.157556831
Rest	 0.311465568
Rest	 0.530528187
Rest	-0.594420769
Rest	 0.427737274
Rest	-0.225145536
Rest	-0.177120197
Rest	-0.206843863
Rest	 0.690263975
Rest	-0.609923803
Rest	-1.069622409
Rest	-1.502526234
Rest	 2.198777504
Rest	-0.636248555
Rest	-0.459667072
Rest	-1.498918124
Rest	-1.449265029
Rest	 0.145333246
Rest	 2.540802687
Rest	 1.069622409
Rest	 1.637059837
Rest	-0.541658583
Rest	-1.007876454
Rest	 0.108833678
Rest	 0.114997130
Rest	-0.927323700
Rest	 3.119573773
Rest	-0.660019751
Rest	-0.765564985
Rest	-0.273690173
Rest	-0.566949564
Rest	-1.803685505
Rest	 0.429059254
Rest	-0.920574685
Rest	-1.601729523
Rest	 0.489348329
Rest	-0.880666861
Rest	-0.417190744
Rest	 2.485900815
Rest	-0.385819356
Rest	-0.705621880
Rest	-1.641637825
Rest	-1.576474624
Rest	-0.130713121
Rest	-1.009891287
Rest	-0.545854338
Rest	 1.122089068
Rest	 1.381079732
Rest	 1.509860005
Rest	 1.637059837
Rest	 1.080313178
Rest	-0.311465568
Rest	 1.182612322
Rest	 1.158836461
Rest	 2.082543183
Rest	-0.487032111
Rest	-0.118550896
Rest	-0.303876944
Rest	-0.282113848
Rest	 0.288751015
Rest	-0.909009180
Rest	-0.307812077
Rest	-1.082463060
Rest	 2.024262972
Rest	-1.040319202
Rest	 2.437542072
